CODE,aprcflag
2013.1.00505.S,C
2013.1.01389.S,C
2013.1.00463.S,C
2013.1.01301.S,C
2013.1.00423.S,C
2013.1.00940.S,C
2013.1.00662.S,C
2013.1.00612.S,C
2013.1.00592.S,U
2013.1.01364.S,U
2013.1.01388.S,U
2013.1.00029.S,U
2013.1.01247.S,U
2013.1.01105.S,U
2013.1.01179.S,U
2013.1.00140.S,U
2013.1.01342.S,U
2013.1.00552.S,U
2013.1.01376.S,U
2013.1.00402.S,U
2013.1.00298.S,U
2013.1.00017.S,U
2013.1.00235.S,U
2013.1.01085.S,U
2013.1.00919.S,U
2013.1.00384.S,U
2013.1.00562.S,U
2013.1.00158.S,U
2013.1.00023.S,U
2013.1.00177.S,U
2013.1.00632.S,U
2013.1.01362.S,U
2013.1.01067.S,U
2013.1.00272.S,U
2013.1.00281.S,U
2013.1.00876.S,U
2013.1.00155.S,U
2013.1.00316.S,U
2013.1.01281.S,U
2013.1.00394.S,U
2013.1.00302.S,U
2013.1.01351.S,U
2013.1.01294.S,U
2013.1.00399.S,U
2013.1.00705.S,U
2013.1.00987.S,U
2013.1.00054.S,U
2013.1.00452.S,U
2013.1.01248.S,U
2013.1.01044.S,U
2013.1.01227.S,U
2013.1.00541.S,U
2013.1.00160.S,U
2013.1.00011.S,U
2013.1.00528.S,U
2013.1.01374.S,U
2013.1.00418.S,U
2013.1.00913.S,U
2013.1.00093.S,U
2013.1.00364.S,U
2013.1.01089.S,U
2013.1.00784.S,U
2013.1.00866.S,U
2013.1.01170.S,U
2013.1.01353.S,U
2013.1.00688.S,U
2013.1.01232.S,U
2013.1.01018.S,U
2013.1.00412.S,U
2013.1.00681.S,U
2013.1.00977.S,U
2013.1.00770.S,U
2013.1.00951.S,U
2013.1.00416.S,U
2013.1.01387.S,U
2013.1.00184.S,U
2013.1.00616.S,U
2013.1.01054.S,U
2013.1.00217.S,U
2013.1.01270.S,U
2013.1.00571.S,U
2013.1.00787.S,U
2013.1.00270.S,U
2013.1.00365.S,U
2013.1.00131.S,U
2013.1.00307.S,U
2013.1.01174.S,U
2013.1.00621.S,U
2013.1.01220.S,U
2013.1.00375.S,U
2013.1.01346.S,U
2013.1.00040.S,U
2013.1.00396.S,U
2013.1.01211.S,U
2013.1.00301.S,U
2013.1.00445.S,U
2013.1.00086.S,U
2013.1.00818.S,U
2013.1.00201.S,U
2013.1.01134.S,U
2013.1.00954.S,U
2013.1.00398.S,U
2013.1.00737.S,U
2013.1.01168.S,U
2013.1.01003.S,U
2013.1.00360.S,U
2013.1.01163.S,U
2013.1.00109.S,U
2013.1.00429.S,U
2013.1.00067.S,U
2013.1.00667.S,U
2013.1.00176.S,U
2013.1.00777.S,U
2013.1.01246.S,U
2013.1.00325.S,U
2013.1.01156.S,U
2013.1.01072.S,U
2013.1.00719.S,U
2013.1.00354.S,U
2013.1.00962.S,U
2013.1.00589.S,U
2013.1.01109.S,U
2013.1.00595.S,U
2013.1.00491.S,U
2013.1.01053.S,U
2013.1.01385.S,U
2013.1.00929.S,U
2013.1.00947.S,U
2013.1.00467.S,U
2013.1.00258.S,U
2013.1.00455.S,U
2013.1.00851.S,U
2013.1.00767.S,U
2013.1.01237.S,U
2013.1.01129.S,U
2013.1.01278.S,U
2013.1.00409.S,U
2013.1.00484.S,U
2013.1.01367.T,U
2013.1.00074.S,U
2013.1.01104.S,U
2013.1.01279.S,U
2013.1.00867.S,U
2013.1.00622.S,U
2013.1.00383.S,U
2013.1.00680.S,U
2013.1.01218.S,U
2013.1.00488.S,U
2013.1.00238.S,U
2013.1.00477.S,U
2013.1.01092.S,U
2013.1.00930.S,U
2013.1.00627.S,U
2013.1.00774.S,U
2013.1.00411.S,U
2013.1.00732.S,U
2013.1.01379.S,U
2013.1.01392.S,U
2013.1.00950.S,U
2013.1.00295.S,U
2013.1.01273.S,U
2013.1.00497.S,U
2013.1.00849.S,U
2013.1.00512.S,U
2013.1.00714.S,U
2013.1.01283.S,U
2013.1.01308.S,U
2013.1.00110.S,U
2013.1.01111.S,U
2013.1.00598.S,U
2013.1.00751.T,U
2013.1.01068.T,U
2013.1.00479.S,U
2013.1.00076.S,U
2013.1.00202.S,U
2013.1.00807.S,U
2013.1.00441.S,U
2013.1.00414.S,U
2013.1.00717.S,U
2013.1.01008.S,U
2013.1.01078.S,U
2013.1.00471.S,U
2013.1.00373.S,U
2013.1.00678.S,U
2013.1.01300.S,U
2013.1.00878.S,U
2013.1.01266.S,U
2013.1.00150.S,U
2013.1.00012.S,U
2013.1.01081.S,U
2013.1.00456.S,U
2013.1.00910.S,U
2013.1.00284.S,U
2013.1.00182.S,U
2013.1.01115.S,U
2013.1.00153.S,U
2013.1.00427.S,U
2013.1.00750.S,U
2013.1.00738.S,U
2013.1.01264.S,U
2013.1.01149.S,U
2013.1.00561.S,U
2013.1.00347.S,U
2013.1.01263.S,U
2013.1.01252.S,U
2013.1.00583.S,U
2013.1.00264.S,U
2013.1.00464.S,U
2013.1.00172.S,U
2013.1.00636.S,U
2013.1.00604.S,U
2013.1.00712.S,U
2013.1.00386.S,U
2013.1.00893.S,U
2013.1.01126.S,U
2013.1.00035.S,U
2013.1.00804.S,U
2013.1.00228.S,U
2013.1.00415.S,U
2013.1.00082.S,U
2013.1.01341.S,U
2013.1.00778.S,U
2013.1.00872.S,U
2013.1.00119.S,U
2013.1.00928.S,U
2013.1.00574.S,U
2013.1.00297.S,U
2013.1.01140.S,U
2013.1.00370.S,U
2013.1.01049.S,U
2013.1.00167.S,U
2013.1.00968.S,U
2013.1.01224.S,U
2013.1.01370.S,U
2013.1.01310.S,U
2013.1.01108.S,U
2013.1.00190.S,U
2013.1.00917.S,U
2013.1.00682.S,U
2013.1.00640.S,U
2013.1.00407.S,U
2013.1.01361.S,U
2013.1.00581.S,U
2013.1.00438.S,U
2013.1.01352.S,U
2013.1.00454.S,U
2013.1.00339.S,U
2013.1.00628.S,U
2013.1.01182.S,U
2013.1.00746.S,U
2013.1.00795.S,U
2013.1.00500.S,U
2013.1.00923.S,U
2013.1.00868.S,U
2013.1.00620.S,U
2013.1.00859.S,U
2013.1.00855.S,U
2013.1.00357.S,U
2013.1.00550.S,U
2013.1.00133.S,U
2013.1.01344.S,U
2013.1.00431.S,U
2013.1.00311.S,U
2013.1.00934.S,U
2013.1.01050.S,U
2013.1.00249.S,U
2013.1.00499.S,U
2013.1.01198.S,U
2013.1.01183.S,U
2013.1.01335.S,U
2013.1.00563.S,U
2013.1.00329.S,U
2013.1.01328.S,U
2013.1.01206.S,U
2013.1.00453.S,U
2013.1.01327.S,U
2013.1.01360.S,U
2013.1.00830.S,U
2013.1.00630.S,U
2013.1.01317.S,U
2013.1.00094.S,U
2013.1.01289.S,U
2013.1.01243.S,U
2013.1.00734.S,U
2013.1.00579.S,U
2013.1.00853.S,U
2013.1.01349.S,U
2013.1.01396.S,U
2013.1.01228.S,U
