APRCRank,APRCGrade,CODE,PI,EXEC,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,Proposal title
1181,U,2015.1.01240.S,Wardlow Julie,EU,1,7,1.2,0.0,0.0,0.0,Lensing or extraordinary dust? ALMA imaging of anomalous dusty galaxies
1182,U,2015.1.01310.S,Habas Rebecca,EU,2,36,19.2,38.4,76.9,15.8,Cold Gas Accretion on Nearby Intermediate Mass Black Holes
1183,U,2015.1.01562.S,MatrÃ  Luca,EU,4,7,3.8,7.6,0.0,0.0,On the unique 30 Myr-old HD21997 disk: secondary gas or evidence for outside-in photoevaporation?
1184,U,2015.1.01598.S,Sargent Benjamin,NA,5,76,17.0,0.0,0.0,17.0,Mass Loss from OH/IR Stars in the Inner Galactic Bulge
1185,U,2015.1.00569.S,Johnston Katharine,EU,4,6,14.6,0.0,0.0,14.6,Are disks around O-type (proto)stars stable?
1186,U,2015.1.00254.S,Reboussin Laura,EU,4,6,3.7,0.0,0.0,3.7,Haro 6-10 inner disks as proxy of young planet forming regions
1187,U,2015.1.00290.S,Liszt Harvey,NA,3,3,3.1,0.0,0.0,0.0,The Galactic Nitrogen (and Carbon) Isotopic Abundance Ratio
1188,U,2015.1.00445.S,Mottram Joseph,EU,3,6,17.7,35.4,70.8,0.0,"Characterising outflows from high-mass stars: driving mechanisms, evolution and the link with their low-mass counterparts"
1189,U,2015.1.01242.S,Girart Josep,EU,4,67,3.3,0.0,0.0,0.0,On the long term monitoring of the orbital motions  for the YLW 15 young stellar binary system
1190,U,2015.1.01484.S,Kong Albert,EA NA,5,97,6.5,0.0,0.0,4.9,A Pilot Study of Persistent Low-Mass X-ray Binaries with ALMA
1191,U,2015.1.01442.S,Muller Sebastien,EU,1,437,6.9,0.0,0.0,0.0,The molecular absorber toward B0218+357
1192,U,2015.1.00996.S,Sahai Raghvendra,NA,5,367,9.9,0.0,0.0,0.0,An Investigation of Circumstellar Gravel around post-AGB Stars
1193,U,2015.1.01481.S,Bellocchi Enrica,EU,2,3,3.5,0.0,0.0,0.0,Tracing the kinematics of the cold molecular gas in a post-coalescence merger LIRG NGC 7130: the outflow view.
1194,U,2015.1.01052.S,Chen Xi,OTHER,3,4,1.5,0.0,0.0,0.0,Massive star formation by accreting material from companion via Roche lobe overflow
1195,U,2015.1.00724.S,Husemann Bernd,EU,2,3,12.8,0.0,0.0,0.0,The Close AGN Reference Survey (CARS) - The cycle of gas in nearby luminous AGN
1196,U,2015.1.00275.S,Decarli Roberto,EU,1,37,9.8,0.0,0.0,0.0,Towards a full characterization of the molecular gas and dust content in HUDF galaxies
1197,U,2015.1.01540.S,Osorio Mayra,EU,4,647,6.9,0.0,0.0,0.0,Characterizing Planet Formation in the Pre-Transitional Disk of HD 169142
1198,U,2015.1.01610.S,Nicuesa Guelbenzu Ana Maria,EU,1,6,4.4,0.0,0.0,0.0,Resolving starburst galaxies that hosted short GRBs
1199,U,2015.1.01317.S,Wang Yuan,EU,3,67,5.7,0.0,0.0,0.0,An ALMA Pilot Study of the Structure and Deuterium Chemistry of High-Mass Dense Cores
1200,U,2015.1.01219.S,Greenwood Aaron,EU,4,7,6.5,0.0,0.0,0.0,Prototyping the chemical abundances of compact brown dwarf disks
1201,U,2015.1.00898.S,Kneissl Ruediger,EU,1,76,5.7,0.0,0.0,0.0,In-depth view of the infrared luminous galaxies in two Planck proto-clusters at z=1.7 and 2.0 
1202,U,2015.1.01325.S,Silva  Andrea,EA,1,6,4.2,0.0,0.0,0.0,Mapping the molecular gas in late-stage galaxy mergers at z~1 with ALMA
1203,U,2015.1.01006.S,Meyer Eileen,NA,2,7436,19.0,0.0,0.0,0.0,Fueling Jet Production via Major Mergers & the Role of the Gas Distribution
1204,U,2015.1.00729.S,Storchi-Bergmann Thaisa,EU,2,6,1.9,0.0,0.0,0.0,Molecular gas flows around the Seyfert 2 nucleus of NGC7582: feeding or feedback?
1205,U,2015.1.00788.S,Vestergaard Marianne,EU,2,476,3.6,0.0,0.0,0.0,Are the Rare FeLoBAL Quasars the Missing Link?
1206,U,2015.1.01048.S,Das Mousumi,OTHER,2,3,2.3,0.0,0.0,0.0,Investigating the role of dual AGN and outflows in the evolution of ULIRGs
1207,U,2015.1.00435.S,Marti-Vidal Ivan,EU,1,37,6.0,0.0,0.0,6.0,Dissecting the submm polarization activity at the base of an AGN jet
1208,U,2015.1.01245.S,Molaro Paolo,EU,1,7,2.2,0.0,0.0,0.0,Astronomical constraints on Local Position Invariance
1209,U,2015.1.00488.S,Momose Rieko,EA,1,3,7.3,2.1,0.0,7.3,Mapping-out the Spatial Distribution of Molecular Clouds in Local Counterparts of High Redshift Galaxies
1210,U,2015.1.00446.S,Taquet Vianney,EU,3,6,6.8,0.0,0.0,0.0,Chemical differentiations of complex organics in solar-type protostars
1211,U,2015.1.00013.S,Lombaert Robin,EU,5,367,5.3,9.5,8.7,0.0,The evolutionary conundrum of the intermediate-mass oxygen-rich asymptotic-giant-branch stars
1212,U,2015.1.00373.S,Aladro Rebeca,EU,2,3,4.2,0.0,0.0,0.0,Structure and Star Formation in the Outflows of Active Galaxies
1213,U,2015.1.00915.S,Sokal Kimberly,NA,5,36,5.8,0.0,0.0,0.0,ALMA Decodes Wolf-Rayet Winds and Dust in the Extreme WR Environment
1214,U,2015.1.01026.S,Rani Bindu ,EU,2,67,48.0,0.0,0.0,48.0,Measuring magnetic field strength and configuration in gamma-ray loud and gamma-ray quiet blazars
1215,U,2015.1.00675.S,Koch Eric,NA,2,6,2.5,0.0,0.0,0.0,Triggered Star Formation and Gas Excitation from Giant HII Regions
1216,U,2015.1.00533.S,Fuente AsunciÃ³n,EU,4,4,5.1,0.0,0.0,0.0,Suplhur chemistry in the transitional disk around AB Auriga
1217,U,2015.1.01505.S,Moscadelli Luca,EU,3,6,3.2,0.0,0.0,0.0,Studying the infall in B-type YSOs to test SF models
1218,U,2015.1.00489.S,Hirano Naomi,NA,5,8,2.7,5.5,10.9,2.7,Neutral atomic carbon in the bipolar planetary nebula NGC 6302
1219,U,2015.1.01411.S,Merello Manuel,EU,3,63,7.5,0.0,0.0,0.0,"Study of fragmentation and global infall in massive, dense clumps in the outer Galaxy"
1220,U,2015.1.00703.S,Bourke Tyler,EU,4,6,4.8,0.0,0.0,0.0,The Transition from Infalling Envelope to Keplerian Disk in Low-Mass Protostars
1221,U,2015.1.01377.S,Mattern Michael,EU,3,3,3.1,6.2,12.5,0.0,Formation of the longest known filament in the Milky Way
1222,U,2015.1.01407.S,Puschnig Johannes,EU,2,967,2.1,4.1,0.0,1.1,ALMA Multi-Line Observations of an Extreme Starbursting High-z Laboratory
1223,U,2015.1.00297.S,Zschaechner Laura,EU,2,3,2.0,4.1,8.2,0.0,Galactic Scale Feedback:  An Investigation of the Combined Effects of AGN and Starburst Driven Outflows
1224,U,2015.1.00247.S,Abraham Zulema,EU,5,6,0.8,0.0,0.0,0.8,Resolving the Baby Homunculus in Eta Carinae 
1225,U,2015.1.00924.S,Lonsdale Carol,NA,1,476,10.1,0.0,0.0,0.0,Mapping Young Jet - ISM - Starburst Connections in Obscured Radio AGN
1226,U,2015.1.00719.S,Indriolo Nick,NA,3,,7.6,0.0,0.0,7.6,Testing the Photodesorption Model of Gas-Phase Water Abundances in the Interstellar Medium
1227,U,2015.1.00484.S,Roychowdhury Sambit,EU,2,3,1.3,0.0,0.0,0.0,The molecular hydrogen content and CO-to-H_2 conversion factor for very low metallicity dwarfs - a pilot study
1228,U,2015.1.00974.S,MasquÃ© Josep-Maria,OTHER,3,6,2.0,0.0,0.0,0.0,Studying proplyds beyond Orion: the case of G5.97-1.17
1229,U,2015.1.01123.S,Rivera Jesus,NA,1,4376,5.5,0.0,0.0,0.0,Physical properties of a dusty star-forming galaxy at z=4.7
1230,U,2015.1.00589.S,AndrÃ© Philippe,EU,3,6,9.5,0.0,0.0,0.0,Testing the universality of interstellar filamentary structure: High-resolution imaging of a quiescent ridge in the LMC
1231,U,2015.1.00909.S,Barrett Paul,NA,5,7,24.0,0.0,0.0,24.0,Submillimeter photo-polarimetry of AE Aqr
1232,U,2015.1.01393.S,Pillai Thushara,EU,3,6,8.0,0.0,0.0,8.0,Magnetic Fields in Infrared Dark Clouds
1233,U,2015.1.01038.S,Nagy Zsofia,NA,3,3,1.6,3.3,0.0,0.0,Searching for core formation in a starless clump in Orion
1234,U,2015.1.01509.S,Ellingsen Simon,OTHER,2,34,9.5,0.0,0.0,0.0,A New Tracer of Extragalactic star formation: Class I methanol masers
1235,U,2015.1.00539.S,Roche Patrick,EU,2,736,3.8,0.0,0.0,0.0,Revealing the circumnuclear material in Circinus
1236,U,2015.1.01095.S,Falgarone Edith,EU,1,6,4.5,0.0,0.0,0.0,CH+(1-0) line detections: the very first probe of turbulent dissipation in high-z galaxies
1237,U,2015.1.00899.S,Carmona Andres,EU,4,9,8.7,0.0,0.0,8.7,Witnessing Planet-Disk Interaction in Action
1238,U,2015.1.01451.S,Popesso Paola,EU,1,4,8.1,0.0,0.0,0.0,The cool side of the wall. The cold gas content at the z~0.7 galaxy wall in GOODS-S
1239,U,2015.1.00790.S,Rigopoulou Dimitra,EU,2,6,2.1,0.0,0.0,0.0,ALMA observations of star forming regions in intermediate redshift Iluminous IR galaxies
1240,U,2015.1.01586.S,Lim Wanggi,NA,3,364,7.8,0.0,0.0,0.0,DEDI - Dust Evoltuin in Dense IRDCs
1241,U,2015.1.01322.S,Grosboel Preben,EU,2,6,4.0,5.3,10.6,0.0,Star-formation triggered by large-scale density wave shocks in NGC 2997
1242,U,2015.1.00756.S,Symeonidis Myrto,EU,2,7,9.3,0.0,0.0,0.0,ALMA observations of the local host galaxy of GRB 031203
1243,U,2015.1.01438.S,Rygl Kazi,EU,2,6,1.1,0.0,0.0,1.1,First detection of clumps in the nearby barred spiral galaxy M83
1244,U,2015.1.00313.S,Yan Lin,NA,2,43,7.7,0.0,0.0,0.0,Dense Molecular Gas in Galaxies at z~0.2 - 0.8 -- Does high-z galaxies have higher star formation efficiecy?
1245,U,2015.1.00201.S,Koda Jin,NA,3,36,6.0,0.0,0.0,0.0,CO absorption with QSOs behind MW
1246,U,2015.1.00380.S,Petric Andreea,NA,2,36,11.2,0.0,0.0,0.0,"The Interstellar Medium in Optically Luminous, Nearby AGN"
1247,U,2015.1.00588.S,Maud Luke,EU,4,6,6.3,0.0,0.0,0.0,Bridging the mass gap using Herbig Be Stars
1248,U,2015.1.01614.S,Grootes Meiert,EU,2,6,14.2,0.0,0.0,0.0,Radiation Transfer Modelling of z=0.7 spiral galaxies constrained by ALMA and HST surface photometry
1249,U,2015.1.01121.S,Mainieri Vincenzo,EU,2,7,2.0,0.0,0.0,0.0,ALMA to unveil the real effect of AGN feedback.
1250,U,2015.1.01126.S,Lofthouse Emma,EU,2,3,5.6,0.0,0.0,0.0,Green Peas
1251,U,2015.1.00958.S,Malinen Johanna,NA,3,76,5.6,0.0,0.0,0.0,A chain of star formation in high-latitude cloud L1642: looking at YSO disks
1252,U,2015.1.00401.S,Murillo Nadia,EU,4,6,5.0,0.0,0.0,0.0,The wolves' litter: the embedded disks of Lupus
1253,U,2015.1.01326.S,Willis Sarah,NA,3,6,3.5,4.6,0.0,0.0,Setting the Stage for the IMF in Protocluster Formation
1254,U,2015.1.00292.S,Nyman Lars-Ake,EU,5,3,9.3,0.0,0.0,0.0,A survey of carbon-rich circumstellar envelopes
1255,U,2015.1.00642.S,Kounkel Marina,NA,4,36,1.4,0.0,0.0,0.0,Search for thermal component of non-thermally radio emitting disk
1256,U,2015.1.01466.S,Spingola Cristiana,EU,1,36,4.1,0.0,0.0,0.0,AGN feedback and star-formation within high redshift galaxies
1257,U,2015.1.00988.S,Tanvir Nial,EU,1,6,16.9,0.0,0.0,0.0,Dissecting normal star-forming galaxies at z=6.3.
1258,U,2015.1.00884.S,De Nutte Rutger,EU,5,6,5.6,11.2,0.0,0.0,Nucleosynthesis in AGB stars traced by oxygen isotopic ratios
1259,U,2015.1.01236.S,Testi Leonardo,EU,4,7,6.4,0.0,0.0,0.0,Diskless young stars in star forming regions: rapid planet formation or sterile systems?
1260,U,2015.1.01055.S,Aoki Shohei,EU,4,7,2.8,0.0,0.0,0.0,Water on the early/current Mars inferred from HDO/H2O observation
1261,U,2015.1.00337.T,TreviÃ±o-Morales Sandra,EU,3,3,6.5,13.1,26.2,0.0,Infall and outflow in a filamentary hub
1262,U,2015.1.00852.S,Etoka Sandra,EU,4,7,13.7,0.0,0.0,0.0,Finding the sources which excite methanol masers
1263,U,2015.1.00610.S,Hull Charles,NA,3,6,3.1,0.0,0.0,3.1,Probing magnetic fields in a forming multiple star system
1264,U,2015.1.01179.S,Duarte Cabral Ana,EU,2,6,11.8,0.0,0.0,0.0,Arm and interam clouds: does the environment matter? Zooming in on M83.
1265,U,2015.1.01241.S,KÃ¶nig Sabine,EU,2,3,5.2,0.0,0.0,5.2,From tidal tail to circumnuclear ring - The feeding chain in minor mergers II
1266,U,2015.1.01209.S,Vernstrom Tessa,NA,1,3,3.1,6.1,0.0,0.0,The SZ effect in a simple distant cluster
1267,U,2015.1.00965.S,Miller Tim,NA,2,348,3.9,0.0,0.0,1.2,A giant molecular outflow in the z=2.85 QSO1549
1268,U,2015.1.01601.S,Min Cheulhong,EA,5,6,0.4,0.0,0.0,0.4,Determination of binary parameters for a symbiotic star R Aquarii (R Aqr)
1269,U,2015.1.01507.S,Cox Erin,NA,4,67,0.9,0.0,0.0,0.9,Resolving the Binary Disks in L1551 IRS5
1270,U,2015.1.01335.S,Monin Jean-Louis,EU,4,6,5.1,0.0,0.0,5.1,HLTau-like CS disks 
1271,U,2015.1.00344.S,Dong Ruobing,NA,4,6,1.1,0.0,0.0,1.1,The Nature of the Asymmetries in Transitional Disks
1272,U,2015.1.01346.S,Liu Tie,EA,3,7,0.8,1.1,0.0,0.0,A forming multiple stellar system in core JCMT 18354-0649S
1273,U,2015.1.00251.S,De Beck Elvire,EU,5,376,4.5,0.0,0.0,0.0,Phosphorus-bearing molecules in the wind of IK Tau
1274,U,2015.1.00443.S,Edge Alastair,EU,2,643,27.9,0.0,0.0,3.0,Intensive monitoring of the core of NGC5044 - An Advection Dominated Accretion Flow in Action?
1275,U,2015.1.00957.S,Wiklind Tommy,NA,2,7,3.2,0.0,0.0,0.0,The Starburst-AGN Connection in Seyfert1 Galaxies
1276,U,2015.1.01583.S,Simon Richard,NA,4,7,1.6,0.0,0.0,0.0,Water Vapor near Ceres
1277,U,2015.1.00018.S,Zaragoza Javier,EU,2,6,2.2,0.0,0.0,0.0,Triggered star formation in Arp 240 as a link to the most extreme star forming galaxies at high-redshift
1278,U,2015.1.01514.S,Burkutean Sandra,EU,1,3,3.9,7.7,0.0,0.0,The most massive galaxy cluster above redshift 1: a unique laboratory for ALMA
1279,U,2015.1.00699.S,Ilee John,EU,4,6,6.1,0.0,0.0,6.1,Unveiling the youngest protoplanetary discs
1280,U,2015.1.01607.S,Rybak Matus,EU,1,39,10.4,0.0,0.0,10.4,Probing the dust and gas structure of z=3 galaxy SDP.81
1281,U,2015.1.00599.S,Pannella Maurilio,EU,1,6,3.3,0.0,0.0,0.0,"The ALMA investigation of JKCS 041, an exceptionally evolved galaxy cluster at z=1.8"
1282,U,2015.1.00547.S,Kospal Agnes,EU,4,7,4.3,0.0,0.0,0.0,Transport processes in the unique young eruptive system EX Lup
1283,U,2015.1.01437.S,Grellmann Rebekka,EU,3,36,1.4,0.0,0.0,0.0,NGC 2264 C - a laboratory for clustered star formation
1284,U,2015.1.01367.S,Pinilla Paola,EU,4,46,4.2,0.0,0.0,0.0,Planet formation at different epochs traced by the dust rings in HD 100546
1285,U,2015.1.00940.S,Wu Yuanwei,EA,3,67,2.3,0.0,0.0,2.3,Resolve disks and outflows in NGC6334I
1286,U,2015.1.00666.S,Miyawaki Ryosuke,EA,3,3,0.7,1.0,0.0,0.7,W49A Band3
1287,U,2015.1.00077.S,Pinilla Paola,EU,4,36,10.4,0.0,0.0,0.0,Origin and efficiency of particle trapping in transition disks
1288,U,2015.1.00542.S,Chapman Scott,NA,1,38,16.4,0.0,0.0,2.3,HS1549 co survey
1289,U,2015.1.00236.S,Pon Andy,EU,3,9,3.3,6.5,0.0,3.3,Resolving Shock Structures Arising from Turbulent Dissipation in a Starless Core
1290,U,2015.1.01418.S,Wootten Al,NA,5,7,1.4,0.0,0.0,0.0,The Extraordinary Deaths of Ordinary Stars: An ALMA Study of the Planetary Nebula NGC3132
1291,U,2015.1.01119.S,Liu Sheng-Yuan,EA,3,34,19.6,0.0,0.0,0.0,Fragmentation Process of Molecular Gas in The Planck Cold Clump G207.3-19.8
1292,U,2015.1.01078.S,Kospal Agnes,EU,4,6,2.1,4.1,0.0,0.0,Tracing the accretion history of pre-main sequence stars through the envelope dynamics of FUors
1293,U,2015.1.00226.S,Taniguchi Kotomi,EA,3,6,7.6,0.0,0.0,0.0,Study of the evolution of protoplanetary disk using 15N isotopic fractionation
1294,U,2015.1.00891.S,Hashimoto Jun,EA,4,6,0.5,0.0,0.0,0.0,Toward the First Detection of `Dead Zone' in Protoplanetary Disks
1295,U,2015.1.01305.S,Fraternali Filippo,EU,1,7,4.2,0.0,0.0,0.0,Mapping the infancy of Milky Way-like galaxies 
1296,U,2015.1.00857.S,Dale Daniel,NA,2,74,9.7,0.0,0.0,0.0,ALMA-LEGUS: Connecting Star Formation to its Fuel
1297,U,2015.1.01182.S,Linz Hendrik,EU,3,4,4.6,0.0,0.0,4.6,Molecular diversity at the early stages of high mass star formation
1298,U,2015.1.00430.S,Schawinski Kevin,EU,2,3,4.7,0.0,0.0,0.0,Molecular gas in Voorwerpjes host galaxies: probing the environment of fading AGN 
1299,U,2015.1.00831.S,Maiolino Roberto,EU,2,3,6.0,0.0,0.0,0.0,Star formation in galactic outflows: the third mode of galaxy formation
1300,U,2015.1.00949.S,Esplin Taran,NA,4,7,1.3,0.0,0.0,0.0,Searching for the youngest debris disks
1301,U,2015.1.01488.S,Kanaan Samer,CL,4,73,2.8,0.0,0.0,2.4,Weighing the dust in Sg B[e] stars
1302,U,2015.1.00508.S,Bendo George,EU,2,3,3.4,0.0,0.0,0.0,Probing hidden star formation in luminous infrared galaxies with millimetre recombination lines and free-free emission 
1303,U,2015.1.00080.S,Teanby Nicholas,EU,4,67,1.4,0.0,0.0,0.0,Determining the origin of Titan's external oxygen flux using sulphur as a tracer
1304,U,2015.1.00772.S,Appleton Philip,NA,2,769,6.8,4.2,0.0,1.4,After the Storm: Mapping the Onset of Star Formation in the Turbulent Taffy Bridge
1305,U,2015.1.01391.S,Kassin Susan,NA,1,3,5.3,0.0,0.0,0.0,CO kinematics of z~1 galaxies: dynamical timescales and disk assembly
1306,U,2015.1.01075.S,Moncelsi Lorenzo,NA,1,7,5.4,0.0,0.0,0.0,Challenging the models: ALMA observations of a sample of massive quiescent galaxies at z ~ 4
1307,U,2015.1.01480.S,Riaz Basmah,EU,3,7,2.2,0.0,0.0,0.0,The role of environment in brown dwarf formation
1308,U,2015.1.00514.S,Alonso Tomas,EU,4,7,0.8,0.0,0.0,0.8,MWC 297: unveiling an evolved disk around a high mass star
1309,U,2015.1.00760.S,Hughes Annie,EU,2,3,2.1,4.2,8.3,0.0,Molecular Gas and Star Formation in the First Stages of a Galaxy Interaction: The Case of NGC4647
1310,U,2015.1.01152.S,Avison Adam,EU,3,3,4.6,0.0,0.0,0.0,Testing the Core Mass Function and primordial mass segregation in a forming OB cluster
1311,U,2015.1.00780.S,Vallini Livia,EU,1,7,3.9,0.0,0.0,0.0,Unveiling the nature of a peculiar LAE at z~5.6: low-luminosity AGN or metal poor stars?
1312,U,2015.1.00462.S,Magdis Georgios,EU,2,3,3.1,0.0,0.0,0.0,CO in 5MUSES
1313,U,2015.1.00619.S,Favre Cecile,NA,3,9,0.6,0.0,0.0,0.6,Imaging the water factory towards Orion-KL
1314,U,2015.1.00737.S,Cicone Claudia,EU,1,7,4.4,0.0,0.0,0.0,Filamentary inflows and QSO feedback traced by [CII] halos surrounding distant quasars  
1315,U,2015.1.01231.S,Ando Misaki,EA,2,3,0.8,1.7,3.4,0.0,Jet-Tail Interaction and Star Formation in the Merger Remnant NGC 7252
1316,U,2015.1.01066.S,Kristensen Lars,NA,2,7,3.0,0.0,0.0,0.0,Mapping star formation activity across NGC 300 using molecular outflows
1317,U,2015.1.00668.S,Kent Brian,NA,2,3,1.8,0.0,0.0,0.0,Molecular Gas in Fornax Cluster UCDs
1318,U,2015.1.00687.S,Cortes Paulo,NA,2,37,6.0,0.0,0.0,6.0,Anatomy of a blazar magnetic field with ALMA: PKS 0521-365
1319,U,2015.1.01262.S,Feng Siyi,EU,3,3,11.6,0.0,0.0,11.6,Chemical evolution in the high-mass star-forming regions NGC 6334 I and I(N)
1320,U,2015.1.00233.S,Homan Ward,EU,5,6,3.9,5.2,0.0,0.0,Observing the inner wind of the circumstellar environmnent of EP Aqr.
1321,U,2015.1.00811.S,Chibueze James,OTHER,3,3,1.4,0.0,0.0,0.0,Key Clues of High-mass Star Formation: The M17 Case
1322,U,2015.1.01132.S,Lonsdale Carol,NA,1,64,6.1,0.0,0.0,0.0,A Protocluster Traced by an Overdensity of Starbursts Around a Young Radio Quasar
1323,U,2015.1.00432.S,Dannerbauer Helmut,EU,1,47,2.6,0.0,0.0,0.0,Probing the Dusty Star Forming Galaxies in the archetypal Spiderweb Protocluster
1324,U,2015.1.00100.S,Alonso-Herrero Almudena,EU,2,6,3.6,0.0,0.0,0.0,"Nuclear cold molecular gas, star formation, and the dusty torus of nearby Seyfert galaxies"
1325,U,2015.1.01567.S,Vegetti Simona,EU,1,7,16.7,0.0,0.0,16.7,The challenging quest for CDM substructure
1326,U,2015.1.01568.S,Womack Maria,NA,4,36,1.2,0.0,0.0,0.0,Mapping CO in the inner coma of distantly active comet 29P/Schwassmann-Wachmann 1
1327,U,2015.1.01109.S,Ludovici Dominic,NA,3,36,4.4,0.0,0.0,4.0,The Nature of the Unusual Source N3 and the Galactic Center NTFs.
1328,U,2015.1.00079.S,Walsh Catherine,EU,4,7,7.4,0.0,0.0,0.0,Characterising the planet-sculpted gas around HD 100546
1329,U,2015.1.01321.S,Pompei Emanuela,EU,2,73,2.0,2.1,4.3,0.0,"The hidden treasures of SCG0018-4854, the youngest compact group in the southern emisphere"
1330,U,2015.1.01609.S,Baker Andrew,NA,1,3,4.6,0.0,0.0,0.0,Resolved CO mapping of lensed ACT DSFGs
1331,U,2015.1.01608.S,Chen How-Huan,NA,3,3,1.7,3.4,6.7,0.0,Angular momentum of starless cores: survey of cores across different scales
1332,U,2015.1.00353.S,Dong Ruobing,NA,4,6,1.0,0.0,0.0,0.0,The nature of the spiral arms in protoplanetary disks
1333,U,2015.1.00240.S,Fedele Davide,EU,4,6,13.9,0.0,0.0,0.0,Forming Giant Planets: The Initial Conditions
1334,U,2015.1.01544.S,Song Inseok,NA,4,7,1.9,0.0,0.0,0.0,High Tau Debris Disks
1335,U,2015.1.00730.S,Pilleri Paolo,EU,5,6,4.8,0.0,0.0,0.0,Formation of large organic molecules in oxygen-rich planetary nebulae
1336,U,2015.1.01278.S,Herrero-Illana Ruben,EU,2,3,5.0,0.0,0.0,0.0,What is the nature of the spectral line profile asymmetries in isolated LIRGs?
1337,U,2015.1.00951.S,Rho Jeonghee,NA,3,6,3.3,0.0,0.0,0.0,Molecule and Dust Formation in Supernovae: Searching for Cold CO in the Ejecta of SNR B0102-72.3
1338,U,2015.1.00674.S,Lindberg Johan,NA,4,763,2.3,0.0,0.0,0.0,Investigating the origin of CO in Uranus
1339,U,2015.1.01532.S,Wu Ronin,EA,2,7,5.0,10.0,20.0,0.0,Is the nuclear starburst of M83 causing a molecular outflow?
1340,U,2015.1.01085.S,Vergani Daniela,EU,2,3,3.3,0.0,0.0,0.0,A merging system with extended decoupled stellar disks
1341,U,2015.1.01127.S,Carniani Stefano,EU,2,4,3.1,0.0,0.0,0.0,"Spatially Resolving Shocks, Stripping and Strangulation in a z~0.4 Cluster"
1342,U,2015.1.00683.S,Friesen Rachel,NA,3,67,6.2,12.3,0.0,0.0,Tracing the onset of star formation with ALMA
1343,U,2015.1.01155.S,Gentile Gianfranco,EU,2,37,1.8,0.0,0.0,0.0,Molecular gas in the central parts of the Fornax cluster: fueling the AGN
1344,U,2015.1.01400.S,Farina Emanuele,EU,1,7,1.3,2.6,5.2,0.0,The growth of The build-up of galaxies: ALMA view of galaxy growth at z~2
1345,U,2015.1.00999.S,Yun Min,NA,1,6,7.2,0.0,0.0,0.0,Physical Properties of the Gas Fueling the Rapid Galaxy Growth at z~3
1346,U,2015.1.01340.S,Miettinen Oskari,OTHER,1,3,6.2,0.0,0.0,0.0,A search for carbon-bearing molecules in a z=4.3 submillimetre galaxy in the COSMOS field
1347,U,2015.1.01561.S,Liu Daizhong,EU,1,46,5.8,0.0,0.0,0.0,Resolved high-J CO Excitation in the highest-z Starburst+AGN Systems
1348,U,2015.1.00071.S,Garcia-Appadoo Diego,EU,2,3,1.7,0.0,0.0,0.0,Triggered star formation & feedback in the ring galaxy NGC922
1349,U,2015.1.01257.S,Muzzin Adam,EU,1,6,7.3,0.0,0.0,7.3,Unveiling the Dustiest Galaxies in the Universe with ALMA
1350,U,2015.1.00691.S,Nayak Omnarayani,NA,3,3,1.9,2.5,0.0,0.0,Census of Dense Gas in N159: Probing the Sites of Massive Star Formation
1351,U,2015.1.00628.S,Fabian Andrew,EU,2,6,2.6,0.0,0.0,0.0,ALMA observations of the 40 billion solar masses of molecular gas in the heart of the nearby Perseus cluster of galaxies
1352,U,2015.1.00868.S,Wagner-Kaiser Rachel,NA,2,3,3.9,0.0,0.0,0.0,The Void of NGC 247: Collision with a Dark Sub-Halo?
1353,U,2015.1.00923.S,Querejeta Miguel,EU,2,6,2.7,5.4,10.8,0.0,The Dynamical Origin of Star Formation
1354,U,2015.1.00826.S,Cales Sabrina,NA,2,6,4.4,0.0,0.0,0.0,Testing AGN-Driven Outflows with Post-starburst Quasars
1355,U,2015.1.01517.S,Soria Ruiz Rebeca,EU,5,97,5.1,0.0,0.0,2.9,The anomalous isotopic abundance ratios in the water fountain IRAS 16342-3814
1356,U,2015.1.00557.S,Wong Ka Tat,EU,5,84,6.5,0.0,0.0,3.4,Probing Ammonia Formation in Oxygen-rich Circumstellar Envelopes
1357,U,2015.1.00431.S,Ansdell Megan,NA,4,6,1.1,0.0,0.0,0.0,Catching disk dispersal in the act
1358,U,2015.1.00218.S,Delphine Russeil,EU,3,3,5.8,0.0,0.0,0.0,NGC6357MDC
1359,U,2015.1.01373.S,Tobin John,EU,4,36,9.8,0.0,0.0,9.1,Probing into the Deep: Characterizing Substructure in Disks Around the Youngest Protostars
1360,U,2015.1.00560.S,Hummel Christian,EU,3,67,2.9,2.3,4.5,0.0,Resolving the nature of the massive young stellar object IRS 9A in NGC 3603 harbouring an O-star
1361,U,2015.1.01470.S,Espaillat Catherine,NA,4,6,3.3,0.0,0.0,3.3,On the edge: classifying one of the faintest disks imaged to date
1362,U,2015.1.01160.S,Rowlands Kate,EU,2,6,12.0,0.0,0.0,0.0,Mind the gap: the origin of galaxy bimodality
1363,U,2015.1.00649.S,Schwarz Kamber,NA,4,9,7.7,0.0,0.0,7.7,A direct detection survey of CO snow lines in protoplanetary disks
1364,U,2015.1.00073.S,Harrison Christopher,EU,2,7,4.3,0.0,0.0,0.0,Testing models of AGN feedback using representative low-z quasars: What impact do radio jets have on their host galaxy's gas?
1365,U,2015.1.01493.S,Klose Sylvio,EU,1,6,8.8,0.0,0.0,0.0,Highz10
1366,U,2015.1.01508.S,Fogasy Judit,EU,1,7,3.7,0.0,0.0,0.0,A mm quasar survey: Hunt for AGN-companion galaxy systems
