APRCRank,APRCGrade,CODE,PI,EXEC,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,Proposal title
357,B,2015.1.01366.S,Hamann Fred,NA,2,46,4.7,0.0,0.0,0.0,Extreme Red Quasars with Extreme [OIII] Outflows
358,B,2015.1.00865.S,Ruiz Maria Teresa,CL,3,6,1.1,0.0,0.0,0.0,First zoom on an extremely young brown dwarf
359,B,2015.1.00888.S,Akiyama Eiji,EA,4,7,7.4,0.0,0.0,0.0,Probing disk structure in a cavity of pre-transitional disks around Sun-like young stars
360,C,2015.1.00603.S,Cyganowski Claudia,EU,3,7,2.7,0.0,0.0,0.0,Hiding in the Shadow of Giants: Low mass cores in massive (proto)clusters
361,B,2015.1.01037.S,Cieza Lucas,CL,4,6,6.0,0.0,0.0,0.0,Dust and gas disk masses in the benchmark cluster IC348
362,B,2015.1.00658.S,Rangwala Naseem,NA,2,9,4.2,4.2,0.0,4.2,Comparing Morphology and Kinematics of Warm CO with Warm Molecular Hydrogen in Star-Forming Galaxies
363,B,2015.1.00907.S,Barro Guillermo,NA,1,7,6.9,0.0,0.0,0.0,Smoking gun confirmation of dusty nuggets as progenitors of the red nuggets at z~2
364,B,2015.1.01157.S,Malhotra Sangeeta,NA,1,64,4.4,0.0,0.0,0.0,ALLO: ALMA Lensed Line Observations
365,B,2015.1.01080.S,Tsuboi Masato,EA,2,7,8.1,0.0,0.0,0.0,Dust Cores around Sgr A*
366,B,2015.1.00568.S,Casey Caitlin,NA,1,7,2.0,0.0,0.0,0.0,Resolved Dust in the Hottest and Coldest SMGs: What does dust temperature really tell us?
367,B,2015.1.00976.S,Tetarenko Alexandra,NA,3,6,1.0,2.0,4.0,0.0,Mapping Jet-ISM Interactions in the Prototypical Microquasar GRS 1915+105
368,C,2015.1.00748.S,Matsuura Mikako,EU,5,743,6.3,0.0,0.0,0.0,Molecules in SN 1987A - probing the chemistry and nucleosynthesis
369,B,2015.1.00038.S,Herrera Cinthya,EA,2,7,2.5,0.0,0.0,0.0,On the dominant stellar feedback mechanism in massive Super Star Clusters
370,B,2015.1.00773.S,Wu Ya-Lin,NA,4,6,3.4,0.0,0.0,0.8,An ALMA Search for Disks around Planetary Mass Companions
371,B,2015.1.00850.S,Louvet Fabien,CL,3,6,1.5,3.0,6.0,0.0,"Digging within the cold Herschel sources of the NGC 6334 complex, to define the initial phase of high-mass star formation"
372,U,2015.1.00519.S,Daemgen Sebastian,NA,4,7,2.2,0.0,0.0,0.0,Protoplanetary Disk Evolution in Pre-Main Sequence Binaries: Chamaeleon I
373,U,2015.1.00328.S,Impellizzeri Violette,NA,2,79,6.1,0.0,0.0,6.1,Water megamasers and the accretion disk in the Circinus galaxy
374,U,2015.1.00069.S,Lis Dariusz,NA,3,7,4.8,0.0,0.0,0.0,Deuterated Ammonia in Prestellar Cores
375,B,2015.1.00027.S,Imanishi Masatoshi,EA,2,67,16.9,0.0,0.0,0.0,AGN feedback and molecular line flux ratios in dust/gas-rich ultraluminous luminous infrared galaxies
376,U,2015.1.00521.S,Clements David,EU,1,3,10.7,0.0,0.0,10.7,The Most Extreme Starbursts in the Early Universe
