CODE	Executive	SB_name	SB_uid	State	Priority	Array	reqExecs	qaa	qab	status	
2012.1.00596.S	NA 	SDP_11_682_12m_C32-3 	uid://A002/X5ce05d/Xef 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00596.S	NA 	SDSS_J100038.01+020822.4_673_12m_C32-3 	uid://A002/X5ce05d/Xed 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00602.S	EA 	NB816-S-61269 	uid://A002/X5d7935/X15e 	READY 	HIGHEST 	C32-4,C32-5,C32-6 	3 	1 	1	Carry over	
2012.1.00603.S	EA 	GMC225_Science_TP 	uid://A002/X6f9b0f/Xce 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	GMC225_query_AmpCal_TP 	uid://A002/X6f9b0f/Xcd 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	N166_Science_TP 	uid://A002/X6f9b0f/Xbe 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	N166_query_AmpCal_TP 	uid://A002/X6f9b0f/Xbd 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	N171_Science_TP 	uid://A002/X6f9b0f/Xc2 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	N171_query_AmpCal_TP 	uid://A002/X6f9b0f/Xc1 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	N206D_Science_TP 	uid://A002/X6f9b0f/Xca 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	N206_Science_TP 	uid://A002/X6f9b0f/Xc6 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	N206_query_AmpCal_TP 	uid://A002/X6f9b0f/Xc5 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00603.S	EA 	N296D_query_AmpCal_TP 	uid://A002/X6f9b0f/Xc9 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00604.S	NA 	Multi-sourceJ1007+0532_613_12m_C32-1 	uid://A002/X5ce05d/X106 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	2 	1 	1	Carry over	
2012.1.00604.S	NA 	Multi-source_New_J0735_C32-1_Band9 	uid://A002/X6f9b0f/Xa5 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	2 	1 	1	Carry over	
2012.1.00610.S	NA 	rxj2143_238_12m_C32-5 	uid://A002/X5ce05d/X154 	READY 	HIGHEST 	C32-6 	1 	0 	0	Carry over	
2012.1.00611.S	NA 	PG1244_330_12m_C32-6 	uid://A002/X684eb5/X15f 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00611.S	NA 	PG2349_295_12m_CS32-6 	uid://A002/X684eb5/X161 	READY 	HIGHEST 	C32-4,C32-5 	2 	0 	0	Carry over	
2012.1.00611.S	NA 	pg0157_297_12m_C32-6 	uid://A002/X684eb5/X160 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00611.S	NA 	pg1119_329_12m_C32-6 	uid://A002/X684eb5/X15e 	READY 	HIGHEST 	C32-4,C32-5 	2 	0 	0	Carry over	
2012.1.00623.S	EA 	Multi-source 	uid://A002/X7f285c/X22 	READY 	HIGHEST 	C32-6 	2 	0 	0	Carry over	
2012.1.00624.S	EU 	Neptune_C18O_B7_12m 	uid://A002/X684eb5/Xf7 	READY 	HIGHEST 	C32-1,C32-2 	1 	0 	0	Carry over	
2012.1.00624.S	EU 	Neptune_HC15N_B7_12m 	uid://A002/X684eb5/Xf8 	READY 	HIGHEST 	C32-1,C32-2 	1 	0 	0	Carry over	
2012.1.00628.T	NA 	Sgr_A_star_108GHz_12m_C32-56 	uid://A002/X5a9a13/X787 	READY 	HIGHEST 	C32-5,C32-6 	2 	0 	0	Carry over	
2012.1.00628.T	NA 	Sgr_A_star_94GHz_12m_C32-6 	uid://A002/X5a9a13/X788 	READY 	HIGHEST 	C32-6 	1 	0 	0	Carry over	
2012.1.00641.S	EA 	Amp Cal TP cloud 225 	uid://A002/X788a57/X5d 	READY 	HIGHEST 	TP-ARRAY 	15 	0 	2	Carry over	
2012.1.00641.S	EA 	cloud_197 - TP Science 	uid://A002/X788a57/X66 	READY 	HIGHEST 	TP-ARRAY 	8 	0 	0	Carry over	
2012.1.00641.S	EA 	cloud_197_07m 	uid://A002/X6b0cc1/Xde 	READY 	HIGHEST 	SEVEN-M 	4 	3 	3	Carry over	
2012.1.00641.S	EA 	cloud_2 - TP Science 	uid://A002/X788a57/X60 	READY 	HIGHEST 	TP-ARRAY 	8 	0 	0	Carry over	
2012.1.00641.S	EA 	cloud_216 - TP Science 	uid://A002/X788a57/X64 	READY 	HIGHEST 	TP-ARRAY 	8 	0 	0	Carry over	
2012.1.00641.S	EA 	cloud_225 - TP Science 	uid://A002/X788a57/X5e 	READY 	HIGHEST 	TP-ARRAY 	8 	0 	3	Carry over	
2012.1.00641.S	EA 	cloud_2_07m 	uid://A002/X6b0cc1/Xd8 	READY 	HIGHEST 	SEVEN-M 	4 	3 	3	Carry over	
2012.1.00641.S	EA 	cloud_55 - TP Science 	uid://A002/X788a57/X62 	READY 	HIGHEST 	TP-ARRAY 	8 	0 	0	Carry over	
2012.1.00641.S	EA 	query - Amp Cal cloud 197 TP 	uid://A002/X788a57/X65 	READY 	HIGHEST 	TP-ARRAY 	15 	0 	0	Carry over	
2012.1.00641.S	EA 	query - Amp Cal cloud 2 TP 	uid://A002/X788a57/X5f 	READY 	HIGHEST 	TP-ARRAY 	15 	0 	0	Carry over	
2012.1.00641.S	EA 	query - Amp Cal cloud 216 TP 	uid://A002/X788a57/X63 	READY 	HIGHEST 	TP-ARRAY 	15 	0 	0	Carry over	
2012.1.00641.S	EA 	query - Amp Cal cloud 55 	uid://A002/X788a57/X61 	READY 	HIGHEST 	TP-ARRAY 	15 	0 	0	Carry over	
2012.1.00647.S	EA 	L1448 	uid://A002/X6444ba/X158 	READY 	HIGHEST 	C32-4,C32-5 	2 	0 	0	Carry over	
2012.1.00647.S	EA 	L1527 	uid://A002/X6444ba/X157 	READY 	HIGHEST 	C32-4,C32-5 	2 	0 	0	Carry over	
2012.1.00650.S	EU 	Amp Cal - M74 - TP test 	uid://A002/X79f8ed/X1 	READY 	HIGHEST 	TP-ARRAY 	5 	0 	1	Carry over	
2012.1.00650.S	EU 	M74 - Science - TP test 	uid://A002/X79f8ed/X2 	READY 	HIGHEST 	TP-ARRAY 	99 	0 	1	Carry over	
2012.1.00650.S	EU 	M74_TP_ampcal 	uid://A002/X5a9a13/X576 	READY 	HIGHEST 	TP-ARRAY 	1 	0 	0	Carry over	
2012.1.00657.S	EA 	NGC_1068 	uid://A002/X7d1738/X119 	READY 	HIGHEST 	C32-6 	2 	0 	0	Carry over	
2012.1.00657.S	EA 	NGC_253 	uid://A002/X7d1738/X11a 	READY 	HIGHEST 	C32-6 	1 	0 	0	Carry over	
2012.1.00671.S	NA 	circinus_321GHz_12m_C32-6 	uid://A002/X628157/X55 	READY 	HIGHEST 	C32-6 	1 	0 	0	Carry over	
2012.1.00671.S	NA 	circinus_325GHz_12m_C32-6 	uid://A002/X628157/X56 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00671.S	NA 	circinus_658GHz_12m_C32-6 	uid://A002/X628157/X57 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00678.S	NA 	IRAS_16342-3814_345_12m_C32-5 	uid://A002/X609170/Xc4 	READY 	HIGHEST 	C32-5,C32-6 	2 	0 	0	Carry over	
2012.1.00683.S	CL 	MagBridge_A - Science-CO1-0 	uid://A002/X74fe5d/X30 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00683.S	CL 	MagBridge_A-12m-CO1-0 	uid://A002/X74fe5d/X2d 	READY 	HIGHEST 	C32-1,C32-2 	2 	1 	1	Carry over	
2012.1.00683.S	CL 	MagBridge_A-7m-CO1-0 	uid://A002/X74fe5d/X2e 	READY 	HIGHEST 	SEVEN-M 	6 	4 	4	Carry over	
2012.1.00683.S	CL 	MagBridge_A_TP- Science-Cont1mm 	uid://A002/X74fe5d/X34 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00683.S	CL 	query - Amp Cal-CO1-0 	uid://A002/X74fe5d/X2f 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00683.S	CL 	query - Amp Cal-Cont1mm 	uid://A002/X74fe5d/X33 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	0	Carry over	
2012.1.00707.S	CL 	Multi-source_Taurus_B6_12m 	uid://A002/X684eb5/X18b 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00707.S	CL 	Multi-source_Taurus_B9_12m 	uid://A002/X684eb5/X18c 	READY 	HIGHEST 	C32-2,C32-3 	1 	0 	0	Carry over	
2012.1.00707.S	CL 	Multisource_b6_Oph_12m 	uid://A002/X684eb5/X189 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00707.S	CL 	Multisource_b9_Oph_12m 	uid://A002/X684eb5/X18a 	READY 	HIGHEST 	C32-1,C32-2 	1 	0 	0	Carry over	
2012.1.00712.S	EU 	IRAS_16293-2422_B3 	uid://A002/X609170/X142 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00725.S	NA 	HD142527_343_12m 	uid://A002/X5d7935/X302 	READY 	HIGHEST 	C32-5 	2 	0 	0	Carry over	
2012.1.00725.S	NA 	MWC758_343_12m 	uid://A002/X5d7935/X301 	READY 	HIGHEST 	C32-6 	2 	0 	0	Carry over	
2012.1.00729.S	EA 	3C454.3 	uid://A002/X609170/Xf6 	READY 	HIGHEST 	C32-2,C32-3,C32-4,C32-5,C32-6 	2 	1 	1	Carry over	
2012.1.00729.S	EA 	3C454.3 	uid://A002/X609170/Xf5 	READY 	HIGHEST 	C32-2,C32-3,C32-4,C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00729.S	EA 	3C454.3_Band3 	uid://A002/X609170/Xf2 	READY 	HIGHEST 	C32-6 	1 	0 	0	Carry over	
2012.1.00729.S	EA 	3C454.3_Band6a 	uid://A002/X609170/Xf3 	READY 	HIGHEST 	C32-3,C32-4,C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00729.S	EA 	3C454.3_Band6b 	uid://A002/X609170/Xf4 	READY 	HIGHEST 	C32-3,C32-4,C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00743.S	CL 	Taurus1_334_12m_C32-any 	uid://A002/X5d7935/X2c0 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	3 	2 	2	Carry over	
2012.1.00743.S	CL 	Taurus2a_334_12m_C32-any 	uid://A002/X5d7935/X2c1 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	2 	1 	1	Carry over	
2012.1.00743.S	CL 	Taurus2b_334_12m_C32-ant 	uid://A002/X5d7935/X2c2 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	2 	1 	1	Carry over	
2012.1.00756.S	EA 	SXDF-CANDELS-UDS_Band6_Mosaicing 	uid://A002/X5d7935/X33a 	READY 	HIGHEST 	C32-4,C32-5,C32-6 	4 	0 	0	Carry over	
2012.1.00761.S	EA 	Sz_91 	uid://A002/X7f285c/X1c 	READY 	HIGHEST 	C32-6 	3 	0 	0	Carry over	
2012.1.00762.S	EA 	m83 - TP Science 	uid://A002/X788a57/X3f 	READY 	HIGHEST 	TP-ARRAY 	4 	0 	3	Carry over	
2012.1.00762.S	EA 	query - Amp Cal M83 	uid://A002/X788a57/X3e 	READY 	HIGHEST 	TP-ARRAY 	5 	0 	1	Carry over	
2012.1.00775.S	EU 	CII-10076+9681 	uid://A002/X5d7935/X194 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	2 	1 	1	Carry over	
2012.1.00775.S	EU 	CII-2861+7118 	uid://A002/X5d7935/X193 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	2 	1 	1	Carry over	
2012.1.00775.S	EU 	CII-9347+6515+8490+10049 	uid://A002/X5d7935/X191 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	3 	2 	2	Carry over	
2012.1.00775.S	EU 	CII-9834+2910 	uid://A002/X5d7935/X192 	READY 	HIGHEST 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	2 	1 	1	Carry over	
2012.1.00781.S	CL 	iras16272-HCOp_345_12m_CS32-1234 	uid://A002/X628157/X9 	READY 	HIGHEST 	C32-1,C32-2 	2 	1 	1	Carry over	
2012.1.00784.S	EU 	W33A_12m_B6_repeat_x2 	uid://A002/X7f285c/X2 	READY 	HIGHEST 	C32-6 	2 	0 	0	Carry over	
2012.1.00784.S	EU 	W33A_12m_B7_repeat_x2 	uid://A002/X7f285c/X1 	READY 	HIGHEST 	C32-6 	2 	0 	0	Carry over	
2012.1.00799.S	EA 	HD_169142 	uid://A002/X7d1738/X13d 	READY 	HIGHEST 	C32-6 	3 	0 	0	Carry over	
2012.1.00812.S	EU 	SGMC2_B3_12m 	uid://A002/X5eed86/Xb8 	READY 	HIGHEST 	C32-5,C32-6 	3 	0 	0	Carry over	
