specRef,specRef,SB_UID,Name,BaseBands,SPWs
X31472615,X31472615,uid://A001/X2c0/X34ab,B6 Pointing Setup,4,4
X21316515,X21316515,uid://A001/X2c0/X34ab,CO v=0 2-1 Science setup_1,4,4
X19200465,X19200465,uid://A001/X2c0/X34ac,B6 Pointing Setup,4,4
X4929145,X4929145,uid://A001/X2c0/X34ac,CO v=0 3-2 Science setup_1,4,4
X25975220,X25975220,uid://A001/X2c0/X34ad,B6 Pointing Setup,4,4
X3023833,X3023833,uid://A001/X2c0/X34ad,CO v=0 3-2 Science setup_1,4,4
X4148688,X4148688,uid://A001/X2c0/X20f7,B6 Pointing Setup,4,4
X1906740,X1906740,uid://A001/X2c0/X20f7,SkyCont(343.5 GHz) Science setup_1,4,4
X22262084,X22262084,uid://A001/X2c0/X3bdb,B6 Pointing Setup,4,4
X24643570,X24643570,uid://A001/X2c0/X3bdb,C3H+ 10-9 Science setup_1,4,4
X22617218,X22617218,uid://A001/X2c0/X2ca2,B6 Pointing Setup,4,4
X25768346,X25768346,uid://A001/X2c0/X2ca2,SkyCont(343.5 GHz) Science setup_1,4,4
X4566706,X4566706,uid://A001/X2c0/X2ca3,B6 Pointing Setup,4,4
X10430572,X10430572,uid://A001/X2c0/X2ca3,SkyCont(343.5 GHz) Science setup_1,4,4
X23983538,X23983538,uid://A001/X2c0/X2ca4,B6 Pointing Setup,4,4
X7768765,X7768765,uid://A001/X2c0/X2ca4,SkyCont(343.5 GHz) Science setup_1,4,4
X7941632,X7941632,uid://A001/X2c0/X2ca5,B6 Pointing Setup,4,4
X1374833,X1374833,uid://A001/X2c0/X2ca5,SkyCont(343.5 GHz) Science setup_1,4,4
X11799162,X11799162,uid://A001/X2c0/X2ca6,B6 Pointing Setup,4,4
X20956050,X20956050,uid://A001/X2c0/X2ca6,SkyCont(343.5 GHz) Science setup_1,4,4
X26070047,X26070047,uid://A001/X2c0/X2ca7,B6 Pointing Setup,4,4
X18656625,X18656625,uid://A001/X2c0/X2ca7,SkyCont(343.5 GHz) Science setup_1,4,4
X6165484,X6165484,uid://A001/X2c0/X3be5,B6 Pointing Setup,4,4
X9204818,X9204818,uid://A001/X2c0/X3be5,CII 2P3/2-2P1/2 Science setup_1,4,4
X12050624,X12050624,uid://A001/X2c0/X3130,B6 Pointing Setup,4,4
X7041805,X7041805,uid://A001/X2c0/X3130,SkyCont(343.5 GHz) Science setup_1,4,4
X15468008,X15468008,uid://A001/X2c0/X2717,B6 Pointing Setup,4,4
X14181677,X14181677,uid://A001/X2c0/X2717,SkyCont(343.5 GHz) Science setup_1,4,4
X29988432,X29988432,uid://A001/X2c0/X2222,B6 Pointing Setup,4,4
X11951111,X11951111,uid://A001/X2c0/X2222,SkyCont(233.0 GHz) Science setup_1,4,4
X19607863,X19607863,uid://A001/X2c0/X2223,B6 Pointing Setup,4,4
X12728507,X12728507,uid://A001/X2c0/X2223,SkyCont(233.0 GHz) Science setup_1,4,4
X5076383,X5076383,uid://A001/X2c0/X4102,B4 Pointing Setup,4,4
X25781287,X25781287,uid://A001/X2c0/X4102,HNC Science setup_1,4,4
X19827767,X19827767,uid://A001/X2c0/X4103,B4 Pointing Setup,4,4
X12525759,X12525759,uid://A001/X2c0/X4103,lines Science setup_1,4,4
X12416913,X12416913,uid://A001/X2c0/X4104,B4 Pointing Setup,4,4
X24596987,X24596987,uid://A001/X2c0/X4104,HNC Science setup_1,4,4
X10495434,X10495434,uid://A001/X2c0/X4105,B4 Pointing Setup,4,4
X32300184,X32300184,uid://A001/X2c0/X4105,"CO, HNC Science setup_1",4,4
X33315168,X33315168,uid://A001/X2c0/X4c,B6 Pointing Setup,4,4
X12800896,X12800896,uid://A001/X2c0/X4c,C 3P1-3P0 Science setup_1,4,4
X32216377,X32216377,uid://A001/X2c0/X4d,B6 Pointing Setup,4,4
X32442574,X32442574,uid://A001/X2c0/X4d,C 3P1-3P0 Science setup_1,4,4
X19698388,X19698388,uid://A001/X2c0/X4e,B6 Pointing Setup,4,4
X20312785,X20312785,uid://A001/X2c0/X4e,C 3P1-3P0 Science setup (topo)_1,4,4
X3454086,X3454086,uid://A001/X2c0/X4e,Delay Setup,4,4
X23155966,X23155966,uid://A001/X2c0/X4e,B8 Focus Setup,4,4
X19864764,X19864764,uid://A001/X2c0/X4f,B6 Pointing Setup,4,4
X7161715,X7161715,uid://A001/X2c0/X4f,C 3P1-3P0 Science setup_1,4,4
X22496465,X22496465,uid://A001/X2c0/X4f,Delay Setup,4,4
X31148108,X31148108,uid://A001/X2c0/X4f,B8 Focus Setup,4,4
X22492654,X22492654,uid://A001/X2c0/X239d,B6 Pointing Setup,4,4
X14210813,X14210813,uid://A001/X2c0/X239d,CO v=0 2-1 Science setup_1,4,4
X4839155,X4839155,uid://A001/X2c0/X239e,B6 Pointing Setup,4,4
X8933279,X8933279,uid://A001/X2c0/X239e,CO v=0 2-1 Science setup_1,4,4
X3391205,X3391205,uid://A001/X2c0/X2829,B6 Pointing Setup,4,4
X2924506,X2924506,uid://A001/X2c0/X2829,CO v=0 2-1 Science setup_1,1,1
X18614041,X18614041,uid://A001/X2c0/X20f9,B6 Pointing Setup,4,4
X3617133,X3617133,uid://A001/X2c0/X20f9,SkyCont(233.0 GHz) Science setup_1,4,4
X24604617,X24604617,uid://A001/X2c0/X2104,B6 Pointing Setup,4,4
X15572145,X15572145,uid://A001/X2c0/X2104,SkyCont(343.5 GHz) Science setup_1,4,4
X13411059,X13411059,uid://A001/X2c0/X3aef,B6 Pointing Setup,4,4
X16346551,X16346551,uid://A001/X2c0/X3aef,CO 7-6 Science setup_1,4,4
X22890052,X22890052,uid://A001/X2c0/X3af0,B6 Pointing Setup,4,4
X18760503,X18760503,uid://A001/X2c0/X3af0,[CII]-b2 Science setup_1,4,4
X13936500,X13936500,uid://A001/X2c0/X3af1,B6 Pointing Setup,4,4
X30373247,X30373247,uid://A001/X2c0/X3af1,cont Science setup,2,2
X972288,X972288,uid://A001/X2c0/X3af1,cont Science setup_1,2,2
X26554554,X26554554,uid://A001/X2c0/X3af2,B6 Pointing Setup,4,4
X25943560,X25943560,uid://A001/X2c0/X3af2,CO 7-6 Science setup_1,4,4
X4683581,X4683581,uid://A001/X2c0/X3af3,B3 Pointing Setup,4,4
X22779462,X22779462,uid://A001/X2c0/X3af3,CO 3-2 Science setup_1,4,4
X30292446,X30292446,uid://A001/X2c0/X3af5,B6 Pointing Setup,4,4
X27983249,X27983249,uid://A001/X2c0/X3af5,TDM Cal Setup,4,4
X1288640,X1288640,uid://A001/X2c0/X3af5,C17O J=3-2 Science setup,4,5
X27026336,X27026336,uid://A001/X2c0/X3af5,C17O J=3-2 Science setup_1,4,5
X27987395,X27987395,uid://A001/X2c0/X4138,B6 Pointing Setup,4,4
X11533279,X11533279,uid://A001/X2c0/X4138,C17O J=3-2 Science setup,4,6
X773268,X773268,uid://A001/X2c0/X4138,C17O J=3-2 Science setup_1,4,6
X23998789,X23998789,uid://A001/X2c0/X4139,B6 Pointing Setup,4,4
X27334844,X27334844,uid://A001/X2c0/X4139,C17O J=3-2 Science setup,4,6
X9958271,X9958271,uid://A001/X2c0/X4139,C17O J=3-2 Science setup_1,4,6
X20870212,X20870212,uid://A001/X2c0/X2556,B6 Pointing Setup,4,4
X20409863,X20409863,uid://A001/X2c0/X2556,SkyCont(265.0 GHz) Science setup_1,4,4
X25070015,X25070015,uid://A001/X2c0/X2557,B6 Pointing Setup,4,4
X5698268,X5698268,uid://A001/X2c0/X2557,SkyCont(265.0 GHz) Science setup_1,4,4
X11989701,X11989701,uid://A001/X2c0/X2558,B6 Pointing Setup,4,4
X25872202,X25872202,uid://A001/X2c0/X2558,SkyCont(265.0 GHz) Science setup_1,4,4
X33552118,X33552118,uid://A001/X2c0/X2559,B6 Pointing Setup,4,4
X32532339,X32532339,uid://A001/X2c0/X2559,SkyCont(265.0 GHz) Science setup_1,4,4
X10276968,X10276968,uid://A001/X2c0/X255a,B6 Pointing Setup,4,4
X28769561,X28769561,uid://A001/X2c0/X255a,SkyCont(265.0 GHz) Science setup_1,4,4
X10835293,X10835293,uid://A001/X2c0/X255b,B6 Pointing Setup,4,4
X23595251,X23595251,uid://A001/X2c0/X255b,SkyCont(265.0 GHz) Science setup_1,4,4
X7973637,X7973637,uid://A001/X2c0/X2229,B6 Pointing Setup,4,4
X31656756,X31656756,uid://A001/X2c0/X2229,SiO v=0 5-4 Science setup,4,10
X31988040,X31988040,uid://A001/X2c0/X2229,SiO v=0 5-4 Science setup_1,4,10
X24110640,X24110640,uid://A001/X2c0/X2229,SiO v=0 5-4 Science setup,4,10
X27130896,X27130896,uid://A001/X2c0/X2769,B6 Pointing Setup,4,4
X26970518,X26970518,uid://A001/X2c0/X2769,CII 2P3/2-2P1/2 Science setup_1,4,4
X6755338,X6755338,uid://A001/X2c0/X3dae,B3 Pointing Setup,4,4
X29182767,X29182767,uid://A001/X2c0/X3dae,TDM Cal Setup,4,4
X2012608,X2012608,uid://A001/X2c0/X3dae,N2H+ v=0 J=1-0 Science setup,4,4
X11338973,X11338973,uid://A001/X2c0/X3dae,N2H+ v=0 J=1-0 Science setup_1,4,4
X1058201,X1058201,uid://A001/X2c0/X3daf,B3 Pointing Setup,4,4
X8761009,X8761009,uid://A001/X2c0/X3daf,TDM Cal Setup,4,4
