paramRef,paramRef,SB_UID,parName,representative_bw,sensitivy,sensUnit,intTime,subScanDur
X18666465,X18666465,uid://A001/X2c0/X22f8,Science Params,6.560344381009202,0.06999999999999999,mJy,272.05999999999995,30.24
X29761785,X29761785,uid://A001/X2c0/X22f3,Science Params,0.00014557731862037976,5.3,mJy,393.02,30.24
X29286067,X29286067,uid://A001/X2c0/X2c07,Science Params,0.0015425736168607274,20.0,mJy,393.02,30.24
X9714283,X9714283,uid://A001/X2c0/X2c08,Science Params,0.0015422623194555104,20.0,mJy,332.53999999999996,30.24
X21029941,X21029941,uid://A001/X2c0/X2c09,Science Params,0.0015425041538033649,20.0,mJy,362.78,30.24
X31446299,X31446299,uid://A001/X2c0/X2c1b,Science Params,0.7648881069462811,0.05699999999999999,mJy,2086.46,30.24
X26664889,X26664889,uid://A001/X2c0/X2c1c,Science Params,0.7648881069462811,0.05699999999999999,mJy,2086.46,30.24
X32986535,X32986535,uid://A001/X2c0/X2c1d,Science Params,0.36176559241479794,0.076,mJy,1965.5,30.24
X21257935,X21257935,uid://A001/X2c0/X2c1e,Science Params,0.36176559241479794,0.076,mJy,1965.5,30.24
X18999538,X18999538,uid://A001/X2c0/X2c1f,Science Params,0.47495052099558516,0.06800000000000024,mJy,1602.6200000000001,30.24
X17045608,X17045608,uid://A001/X2c0/X2c20,Science Params,0.47495052099558516,0.06800000000000024,mJy,1602.6200000000001,30.24
X527699,X527699,uid://A001/X2c0/X2278,Science Params,7.5,0.027000000000000014,mJy,634.9399999999999,30.24
X4162299,X4162299,uid://A001/X2c0/X2279,Science Params,7.5,0.027000000000000014,mJy,1495.7720000000002,28.224
X16282274,X16282274,uid://A001/X2c0/X227a,Science Params,7.5,0.027000000000000014,mJy,786.14,30.24
X11770332,X11770332,uid://A001/X2c0/X2247,Science Params,0.00014111328125,3.5,mJy,1874.78,30.24
X25921116,X25921116,uid://A001/X2c0/X22db,Science Params,8.681088208341678e-05,30.0,mJy,1523.996,24.192
X3694199,X3694199,uid://A001/X2c0/X22db,Science Params,8.681088208341678e-05,30.0,mJy,411.164,24.192
X22371279,X22371279,uid://A001/X2c0/X22dc,Science Params,8.681088208341678e-05,30.0,mJy,1532.0600000000002,20.16
X28402810,X28402810,uid://A001/X2c0/X22dc,Science Params,8.681088208341678e-05,30.0,mJy,423.25999999999993,30.24
X21414350,X21414350,uid://A001/X2c0/X22dd,Science Params,8.681088208341678e-05,30.0,mJy,418.07599999999996,4.752
X30505523,X30505523,uid://A001/X2c0/X22de,Science Params,8.681088208341678e-05,30.0,mJy,1169.9,15.6
X6854124,X6854124,uid://A001/X2c0/X22de,Science Params,8.681088208341678e-05,30.0,mJy,1091.9,15.6
X21944721,X21944721,uid://A001/X2c0/X22df,Science Params,8.924663736155356e-05,30.0,mJy,1669.1480000000001,24.192
X20727304,X20727304,uid://A001/X2c0/X22df,Science Params,8.924663736155356e-05,30.0,mJy,556.316,24.192
X33382760,X33382760,uid://A001/X2c0/X22e0,Science Params,8.924663736155356e-05,30.0,mJy,1572.38,30.24
X1897235,X1897235,uid://A001/X2c0/X22e0,Science Params,8.924663736155356e-05,30.0,mJy,493.82,10.08
X23629046,X23629046,uid://A001/X2c0/X22e1,Science Params,8.924663736155356e-05,30.0,mJy,405.40399999999994,4.608
X6285238,X6285238,uid://A001/X2c0/X22e2,Science Params,8.924663736155356e-05,30.0,mJy,1151.9,15.36
X15410883,X15410883,uid://A001/X2c0/X22e2,Science Params,8.924663736155356e-05,30.0,mJy,1075.1000000000001,15.36
X12188528,X12188528,uid://A001/X2c0/X345b,Science Params,0.02605478245002731,0.3999999999999998,mJy,1814.3,30.24
X10940780,X10940780,uid://A001/X2c0/X345c,Science Params,0.08698002270671516,0.6,mJy,2872.7,30.24
X14317646,X14317646,uid://A001/X2c0/X3464,Science Params,0.003006218287535835,2.0,mJy,1693.34,30.24
X26492472,X26492472,uid://A001/X2c0/X3465,Science Params,0.0030066389608503774,2.0,mJy,2721.4999999999995,30.24
X8739347,X8739347,uid://A001/X2c0/X223d,Science Params,0.00112890625,1.47504,mJy,2237.66,30.24
X24684989,X24684989,uid://A001/X2c0/X223e,Science Params,0.00112890625,1.47504,mJy,2056.22,30.24
X22519781,X22519781,uid://A001/X2c0/X223f,Science Params,0.00112890625,1.47504,mJy,2056.22,30.24
X14523341,X14523341,uid://A001/X2c0/X2240,Science Params,0.0019384765625000003,10.47075,mJy,816.3799999999999,30.24
X29252883,X29252883,uid://A001/X2c0/X2241,Science Params,0.0019384765625000003,10.47075,mJy,423.25999999999993,30.24
X26999645,X26999645,uid://A001/X2c0/X2242,Science Params,0.0019384765625000003,10.47075,mJy,634.9399999999999,30.24
X9375667,X9375667,uid://A001/X2c0/X2243,Science Params,0.0019384765625000003,10.47075,mJy,332.53999999999996,30.24
X10728,X10728,uid://A001/X2c0/X2244,Science Params,0.0019384765625000003,10.47075,mJy,634.9399999999999,30.24
X23228893,X23228893,uid://A001/X2c0/X2245,Science Params,0.0019384765625000003,10.47075,mJy,332.53999999999996,30.24
X31283044,X31283044,uid://A001/X2c0/X227b,Science Params,6.5625,0.018000000000000002,mJy,1693.34,30.24
X14480789,X14480789,uid://A001/X2c0/X227c,Science Params,6.5625,0.018000000000000002,mJy,1935.26,30.24
X19068315,X19068315,uid://A001/X2c0/X225f,Science Params,0.0009765625000000002,2.0,mJy,2419.1,30.24
X2983793,X2983793,uid://A001/X2c0/X2260,Science Params,0.0009765625000000002,2.0,mJy,1209.5,30.24
X4261060,X4261060,uid://A001/X2c0/X2261,Science Params,0.00012207031250000003,10.0,mJy,1965.5,30.24
X10308663,X10308663,uid://A001/X2c0/X2262,Science Params,0.00012207031250000003,10.0,mJy,1965.5,30.24
X30836738,X30836738,uid://A001/X2c0/X2263,Science Params,0.00012207031250000003,10.0,mJy,405.40399999999994,4.608
X32162707,X32162707,uid://A001/X2c0/X2264,Science Params,0.00012207031250000003,10.0,mJy,1945.3400000000001,10.08
X27031744,X27031744,uid://A001/X2c0/X2271,Science Params,0.00015380173528930046,3.8035906285014804,mJy,2540.06,30.24
X26924056,X26924056,uid://A001/X2c0/X2272,Science Params,7.5,0.10000000000000026,mJy,362.78,30.24
X3423009,X3423009,uid://A001/X2c0/X3c08,Science Params,7.5,0.019999999999999997,mJy,2086.46,30.24
X17736179,X17736179,uid://A001/X2c0/X3c09,Science Params,7.5,0.019999999999999997,mJy,2781.98,30.24
X25633651,X25633651,uid://A001/X2c0/X3c0a,Science Params,7.5,0.019999999999999997,mJy,2963.42,30.24
X27389572,X27389572,uid://A001/X2c0/X2589,Science Params,0.00023048684472953888,8.0,mJy,544.2199999999999,30.24
X29222569,X29222569,uid://A001/X2c0/X258a,Science Params,0.00023048684472953888,8.0,mJy,272.05999999999995,30.24
X30798468,X30798468,uid://A001/X2c0/X258b,Science Params,0.005394415872798674,164.0,mJy,1058.3,30.24
X31816875,X31816875,uid://A001/X2c0/X258c,Science Params,0.005394415872798674,164.0,mJy,1975.5800000000002,20.16
