targetId,targetId,SB_UID,specRef,fieldRef,paramRef
X22419212,X22419212,uid://A001/X2c0/X415a,X9744754,X18672188,X5922598
X18685877,X18685877,uid://A001/X2c0/X415a,X9744754,X31004073,X21457022
X31371257,X31371257,uid://A001/X2c0/X415a,X9744754,X31004073,X11899596
X20171313,X20171313,uid://A001/X2c0/X415a,X9744754,X4886527,X13079072
X20102240,X20102240,uid://A001/X2c0/X415a,X8548129,X9983142,X13794106
X23101721,X23101721,uid://A001/X2c0/X273c,X10531817,X23050456,X12098472
X33349277,X33349277,uid://A001/X2c0/X273c,X10531817,X26055731,X15387195
X27877466,X27877466,uid://A001/X2c0/X273c,X6909351,X2597051,X16464925
X4207599,X4207599,uid://A001/X2c0/X273c,X6909351,X24299113,X18021640
X15098021,X15098021,uid://A001/X2c0/X273c,X6909351,X4670608,X25800475
X13059359,X13059359,uid://A001/X2c0/X273c,X6909351,X3579464,X7398327
X2137250,X2137250,uid://A001/X2c0/X273c,X6909351,X27135185,X30938860
X20868179,X20868179,uid://A001/X2c0/X273d,X29413275,X28211161,X7324232
X15812843,X15812843,uid://A001/X2c0/X273d,X29413275,X26026738,X28732742
X30657205,X30657205,uid://A001/X2c0/X273d,X19771554,X27572878,X6949306
X2306498,X2306498,uid://A001/X2c0/X273d,X19771554,X25686537,X24993561
X4709164,X4709164,uid://A001/X2c0/X273d,X19771554,X3014928,X29228291
X2178320,X2178320,uid://A001/X2c0/X273d,X19771554,X8299466,X44112
X26658724,X26658724,uid://A001/X2c0/X273d,X19771554,X11022561,X4990352
X4263816,X4263816,uid://A001/X2c0/X273e,X19604061,X24392950,X5115847
X13550619,X13550619,uid://A001/X2c0/X273e,X19604061,X23049888,X10374413
X20853495,X20853495,uid://A001/X2c0/X273e,X30698655,X14000388,X2312728
X30255501,X30255501,uid://A001/X2c0/X273e,X30698655,X23877414,X27210263
X4362936,X4362936,uid://A001/X2c0/X273e,X30698655,X32314892,X7951809
X10416260,X10416260,uid://A001/X2c0/X273e,X30698655,X13007171,X11689382
X22791007,X22791007,uid://A001/X2c0/X273e,X30698655,X31900189,X26648753
X22034910,X22034910,uid://A001/X2c0/X273f,X30160882,X10382881,X6644298
X25615585,X25615585,uid://A001/X2c0/X273f,X30160882,X8632202,X26873084
X17482587,X17482587,uid://A001/X2c0/X273f,X33492215,X26721604,X25827741
