targetId,targetId,SB_UID,indObs,name
X4388791,X4388791,uid://A001/X2c0/X415c,0,Science
X1586734,X1586734,uid://A001/X2c0/X415c,0,Science
X23878714,X23878714,uid://A001/X2c0/X415c,0,Science
X12246258,X12246258,uid://A001/X2c0/X388a,0,Calibrators
X14395309,X14395309,uid://A001/X2c0/X388a,0,Calibrators
X9373354,X9373354,uid://A001/X2c0/X388a,0,Calibrators
X6530492,X6530492,uid://A001/X2c0/X388a,0,Science
X30120411,X30120411,uid://A001/X2c0/X388a,0,Science
X1848028,X1848028,uid://A001/X2c0/X388a,0,Science
X23684794,X23684794,uid://A001/X2c0/X388a,0,Science
X6289117,X6289117,uid://A001/X2c0/X388b,0,Calibrators
X32862916,X32862916,uid://A001/X2c0/X388b,0,Calibrators
X29716812,X29716812,uid://A001/X2c0/X388b,0,Calibrators
X33255129,X33255129,uid://A001/X2c0/X388b,0,Science
X17957532,X17957532,uid://A001/X2c0/X388b,0,Science
X18293630,X18293630,uid://A001/X2c0/X388b,0,Science
X16088577,X16088577,uid://A001/X2c0/X388b,0,Science
X22361885,X22361885,uid://A001/X2c0/X388c,0,Calibrators
X25342613,X25342613,uid://A001/X2c0/X388c,0,Calibrators
X1299259,X1299259,uid://A001/X2c0/X388c,0,Calibrators
X15673734,X15673734,uid://A001/X2c0/X388c,0,Science
X15765299,X15765299,uid://A001/X2c0/X388c,0,Science
X23478451,X23478451,uid://A001/X2c0/X388c,0,Science
X11734607,X11734607,uid://A001/X2c0/X388c,0,Science
X15720378,X15720378,uid://A001/X2c0/X388d,0,Calibrators
X26586011,X26586011,uid://A001/X2c0/X388d,0,Calibrators
X23470002,X23470002,uid://A001/X2c0/X388d,0,Calibrators
X26544451,X26544451,uid://A001/X2c0/X388d,0,Science
X33433225,X33433225,uid://A001/X2c0/X388d,0,Science
X6059689,X6059689,uid://A001/X2c0/X388d,0,Science
X2131471,X2131471,uid://A001/X2c0/X388d,0,Science
X28826417,X28826417,uid://A001/X2c0/X388e,0,Calibrators
X29549134,X29549134,uid://A001/X2c0/X388e,0,Calibrators
X28880096,X28880096,uid://A001/X2c0/X388e,0,Calibrators
X9224035,X9224035,uid://A001/X2c0/X388e,0,Science
X18711262,X18711262,uid://A001/X2c0/X388e,0,Science
X33047395,X33047395,uid://A001/X2c0/X388e,0,Science
X26645024,X26645024,uid://A001/X2c0/X388e,0,Science
X25601446,X25601446,uid://A001/X2c0/X388f,0,Calibrators
X4070301,X4070301,uid://A001/X2c0/X388f,0,Calibrators
X7381053,X7381053,uid://A001/X2c0/X388f,0,Calibrators
X3591652,X3591652,uid://A001/X2c0/X388f,0,Science
X28537502,X28537502,uid://A001/X2c0/X388f,0,Science
X26743930,X26743930,uid://A001/X2c0/X388f,0,Science
X28397743,X28397743,uid://A001/X2c0/X388f,0,Science
X11954813,X11954813,uid://A001/X2c0/X3890,0,Calibrators
X25264021,X25264021,uid://A001/X2c0/X3890,0,Calibrators
X33138378,X33138378,uid://A001/X2c0/X3890,0,Calibrators
X14343920,X14343920,uid://A001/X2c0/X3890,0,Science
X1898062,X1898062,uid://A001/X2c0/X3890,0,Science
X19549626,X19549626,uid://A001/X2c0/X3890,0,Science
X23503447,X23503447,uid://A001/X2c0/X3890,0,Science
X24701633,X24701633,uid://A001/X2c0/X3891,0,Calibrators
X4435640,X4435640,uid://A001/X2c0/X3891,0,Calibrators
X6583779,X6583779,uid://A001/X2c0/X3891,0,Calibrators
X5462182,X5462182,uid://A001/X2c0/X3891,0,Science
X2258768,X2258768,uid://A001/X2c0/X3891,0,Science
X32693770,X32693770,uid://A001/X2c0/X3891,0,Science
X1841544,X1841544,uid://A001/X2c0/X3891,0,Science
X23483609,X23483609,uid://A001/X2c0/X3892,0,Calibrators
X4781869,X4781869,uid://A001/X2c0/X3892,0,Calibrators
X22977640,X22977640,uid://A001/X2c0/X3892,0,Calibrators
X21974185,X21974185,uid://A001/X2c0/X3892,0,Science
X3502115,X3502115,uid://A001/X2c0/X3892,0,Science
X19683785,X19683785,uid://A001/X2c0/X3892,0,Science
X16404592,X16404592,uid://A001/X2c0/X3892,0,Science
X20359893,X20359893,uid://A001/X2c0/X3893,0,Calibrators
X8470609,X8470609,uid://A001/X2c0/X3893,0,Calibrators
X6389909,X6389909,uid://A001/X2c0/X3893,0,Calibrators
X7826510,X7826510,uid://A001/X2c0/X3893,0,Science
X26411956,X26411956,uid://A001/X2c0/X3893,0,Science
X2778514,X2778514,uid://A001/X2c0/X3893,0,Science
X6969542,X6969542,uid://A001/X2c0/X3893,0,Science
X21210810,X21210810,uid://A001/X2c0/X3894,0,Calibrators
X13016855,X13016855,uid://A001/X2c0/X3894,0,Calibrators
X8885455,X8885455,uid://A001/X2c0/X3894,0,Calibrators
X4233425,X4233425,uid://A001/X2c0/X3894,0,Science
X20909449,X20909449,uid://A001/X2c0/X3894,0,Science
X4968090,X4968090,uid://A001/X2c0/X3894,0,Science
X14613525,X14613525,uid://A001/X2c0/X3894,0,Science
X17178517,X17178517,uid://A001/X2c0/X3895,0,Calibrators
X14091312,X14091312,uid://A001/X2c0/X3895,0,Calibrators
X17733467,X17733467,uid://A001/X2c0/X3895,0,Calibrators
X6312273,X6312273,uid://A001/X2c0/X3895,0,Science
X5101758,X5101758,uid://A001/X2c0/X3895,0,Science
X14751335,X14751335,uid://A001/X2c0/X3895,0,Science
X6369197,X6369197,uid://A001/X2c0/X3895,0,Science
X4253064,X4253064,uid://A001/X2c0/X3896,0,Calibrators
X3765653,X3765653,uid://A001/X2c0/X3896,0,Calibrators
X31875618,X31875618,uid://A001/X2c0/X3896,0,Calibrators
X11753610,X11753610,uid://A001/X2c0/X3896,0,Science
X10139957,X10139957,uid://A001/X2c0/X3896,0,Science
X19578114,X19578114,uid://A001/X2c0/X3896,0,Science
X16956664,X16956664,uid://A001/X2c0/X3896,0,Science
X17391641,X17391641,uid://A001/X2c0/X3897,0,Calibrators
X3436725,X3436725,uid://A001/X2c0/X3897,0,Calibrators
X20530285,X20530285,uid://A001/X2c0/X3897,0,Calibrators
X362152,X362152,uid://A001/X2c0/X3897,0,Science
X31406768,X31406768,uid://A001/X2c0/X3897,0,Science
X31068531,X31068531,uid://A001/X2c0/X3897,0,Science
X28977694,X28977694,uid://A001/X2c0/X3897,0,Science
X26503205,X26503205,uid://A001/X2c0/X3898,0,Calibrators
X8670612,X8670612,uid://A001/X2c0/X3898,0,Calibrators
X19007781,X19007781,uid://A001/X2c0/X3898,0,Calibrators
X20415383,X20415383,uid://A001/X2c0/X3898,0,Science
X5927403,X5927403,uid://A001/X2c0/X3898,0,Science
X12005357,X12005357,uid://A001/X2c0/X3898,0,Science
X23290290,X23290290,uid://A001/X2c0/X3898,0,Science
X18107672,X18107672,uid://A001/X2c0/X3899,0,Calibrators
X16664394,X16664394,uid://A001/X2c0/X3899,0,Calibrators
X14240657,X14240657,uid://A001/X2c0/X3899,0,Calibrators
X23876855,X23876855,uid://A001/X2c0/X3899,0,Science
X19244843,X19244843,uid://A001/X2c0/X3899,0,Science
X21160521,X21160521,uid://A001/X2c0/X3899,0,Science
X24468938,X24468938,uid://A001/X2c0/X3899,0,Science
X32414931,X32414931,uid://A001/X2c0/X389a,0,Calibrators
X23921117,X23921117,uid://A001/X2c0/X389a,0,Calibrators
X23193145,X23193145,uid://A001/X2c0/X389a,0,Calibrators
X13795842,X13795842,uid://A001/X2c0/X389a,0,Science
X30584231,X30584231,uid://A001/X2c0/X389a,0,Science
X17051408,X17051408,uid://A001/X2c0/X389a,0,Science
X1454910,X1454910,uid://A001/X2c0/X389a,0,Science
X30079920,X30079920,uid://A001/X2c0/X389b,0,Calibrators
X25581380,X25581380,uid://A001/X2c0/X389b,0,Calibrators
X22237041,X22237041,uid://A001/X2c0/X389b,0,Calibrators
X11901735,X11901735,uid://A001/X2c0/X389b,0,Science
X24966789,X24966789,uid://A001/X2c0/X389b,0,Science
X22048760,X22048760,uid://A001/X2c0/X389b,0,Science
X23766895,X23766895,uid://A001/X2c0/X389b,0,Science
X1248894,X1248894,uid://A001/X2c0/X36ee,0,Calibrators
X30698613,X30698613,uid://A001/X2c0/X36ee,0,Calibrators
X16587659,X16587659,uid://A001/X2c0/X36ee,0,Calibrators
X20735535,X20735535,uid://A001/X2c0/X36ee,0,Science
X31391295,X31391295,uid://A001/X2c0/X36ee,0,Science
X9626931,X9626931,uid://A001/X2c0/X36ee,0,Science
X1177303,X1177303,uid://A001/X2c0/X36ef,0,Calibrators
X2266021,X2266021,uid://A001/X2c0/X36ef,0,Calibrators
X23980844,X23980844,uid://A001/X2c0/X36ef,0,Calibrators
X20530319,X20530319,uid://A001/X2c0/X36ef,0,Science
X29680559,X29680559,uid://A001/X2c0/X36ef,0,Science
X24868821,X24868821,uid://A001/X2c0/X36ef,0,Science
X14939098,X14939098,uid://A001/X2c0/X36f0,0,Calibrators
X14155380,X14155380,uid://A001/X2c0/X36f0,0,Calibrators
X10070600,X10070600,uid://A001/X2c0/X36f0,0,Calibrators
X10752409,X10752409,uid://A001/X2c0/X36f0,0,Science
X31258901,X31258901,uid://A001/X2c0/X36f0,0,Science
X28229803,X28229803,uid://A001/X2c0/X36f0,0,Science
X28684028,X28684028,uid://A001/X2c0/X36f1,0,Calibrators
X9274495,X9274495,uid://A001/X2c0/X36f1,0,Calibrators
X9499818,X9499818,uid://A001/X2c0/X36f1,0,Calibrators
X13047042,X13047042,uid://A001/X2c0/X36f1,0,Science
X15813671,X15813671,uid://A001/X2c0/X36f1,0,Science
X6831245,X6831245,uid://A001/X2c0/X36f1,0,Science
X33258441,X33258441,uid://A001/X2c0/X36f2,0,Calibrators
X28966714,X28966714,uid://A001/X2c0/X36f2,0,Calibrators
X8327953,X8327953,uid://A001/X2c0/X36f2,0,Calibrators
X11765932,X11765932,uid://A001/X2c0/X36f2,0,Science
X30401943,X30401943,uid://A001/X2c0/X36f2,0,Science
X14335368,X14335368,uid://A001/X2c0/X36f2,0,Science
X28419833,X28419833,uid://A001/X2c0/X2212,0,Calibrators
X25642094,X25642094,uid://A001/X2c0/X2212,0,Calibrators
X19800005,X19800005,uid://A001/X2c0/X2212,0,Calibrators
X20251870,X20251870,uid://A001/X2c0/X2212,0,Science
X7493932,X7493932,uid://A001/X2c0/X2212,0,Science
X24169468,X24169468,uid://A001/X2c0/X2212,0,Science
X24153129,X24153129,uid://A001/X2c0/X2213,0,Calibrators
X22719651,X22719651,uid://A001/X2c0/X2213,0,Calibrators
