TARG_ID,TARG_ID,OBSPROJECT_UID,SG_ID,tarType,solarSystem,sourceName,RA,DEC,isMosaic,centerVel,centerVel_units,centerVel_refsys,centerVel_doppler,lineWidth
uid://A001/X1ee/X1407_08_1,uid://A001/X1ee/X1407_08_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_08,F_MultiplePoints,Unspecified,0546-5345,86.66566666666667,-53.75505555555556,False,203085.213483871,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_09_1,uid://A001/X1ee/X1407_09_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_09,F_MultiplePoints,Unspecified,MACSJ1314.3-2515,198.58929166666667,-25.263277777777777,False,177428.1894285714,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_10_1,uid://A001/X1ee/X1407_10_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_10,F_MultiplePoints,Unspecified,0612-4317,93.01533333333333,-43.28633333333333,False,208946.25860606064,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_11_1,uid://A001/X1ee/X1407_11_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_11,F_MultiplePoints,Unspecified,0307-5042,46.95575,-50.69419444444444,False,226672.34629268298,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_12_1,uid://A001/X1ee/X1407_12_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_12,F_MultiplePoints,Unspecified,MACSJ1115.8+0129,168.9615,1.5114166666666666,False,163523.15890909088,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_13_1,uid://A001/X1ee/X1407_13_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_13,F_MultiplePoints,Unspecified,35646,245.94379166666667,26.569916666666668,False,169447.9110434783,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_14_1,uid://A001/X1ee/X1407_14_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_14,F_MultiplePoints,Unspecified,39326,171.00925,24.077333333333332,False,192723.723,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_15_1,uid://A001/X1ee/X1407_15_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_15,F_MultiplePoints,Unspecified,A3088,46.78370833333334,-28.6715,False,149896.229,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_16_1,uid://A001/X1ee/X1407_16_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_16,F_MultiplePoints,Unspecified,MACSJ0505.5-6144,76.38808333333333,-61.731944444444444,False,208946.25860606064,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/Xd83_01_1,uid://A001/X1ee/Xd83_01_1,uid://A001/X1ee/Xd83,uid://A001/X1ee/Xd83_01,F_MultiplePoints,Unspecified,VV_219,189.1428833,11.238630555555556,False,2200.0,km/s,hel,RELATIVISTIC,0.015267679055837272
uid://A001/X1ee/Xd83_02_1,uid://A001/X1ee/Xd83_02_1,uid://A001/X1ee/Xd83,uid://A001/X1ee/Xd83_02,F_SingleRectangle,Unspecified,VV_219,189.1428833,11.2386306,True,2200.0,km/s,hel,RELATIVISTIC,0.04704626573281849
uid://A001/X1ee/Xe0f_01_1,uid://A001/X1ee/Xe0f_01_1,uid://A001/X1ee/Xe0f,uid://A001/X1ee/Xe0f_01,F_SingleRectangle,Unspecified,HUDF,53.15833333333333,-27.78361111111111,True,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/Xe0f_02_1,uid://A001/X1ee/Xe0f_02_1,uid://A001/X1ee/Xe0f,uid://A001/X1ee/Xe0f_02,F_SingleRectangle,Unspecified,HUDF,53.15833333333333,-27.78361111111111,True,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1b3/X1_01_1,uid://A001/X1b3/X1_01_1,uid://A001/X1b3/X1,uid://A001/X1b3/X1_01,F_MultiplePoints,Unspecified,VY_CMa,110.74302458333334,-25.7675175,False,21.0,km/s,lsr,RADIO,0.05745239066446644
uid://A001/X1b3/X1_02_1,uid://A001/X1b3/X1_02_1,uid://A001/X1b3/X1,uid://A001/X1b3/X1_02,F_MultiplePoints,Unspecified,Mira,34.83663376,-2.97763767,False,46.0,km/s,lsr,RELATIVISTIC,0.008883533441344736
uid://A001/X1b3/X1_03_1,uid://A001/X1b3/X1_03_1,uid://A001/X1b3/X1,uid://A001/X1b3/X1_03,F_MultiplePoints,Unspecified,VY_CMa,110.74302458333334,-25.7675175,False,21.0,km/s,lsr,RADIO,0.03694797431556616
uid://A001/X1ee/X2a5_01_1,uid://A001/X1ee/X2a5_01_1,uid://A001/X1ee/X2a5,uid://A001/X1ee/X2a5_01,F_SingleRectangle,Unspecified,M83,204.2538292,-29.8657611,True,518.6513582463989,km/s,hel,RADIO,0.0011515144135423937
uid://A001/X1ee/X2a5_02_1,uid://A001/X1ee/X2a5_02_1,uid://A001/X1ee/X2a5,uid://A001/X1ee/X2a5_02,F_SingleRectangle,Unspecified,NGC300,13.7228292,-37.6843806,True,145.9644660459659,km/s,hel,RADIO,0.0011529483991388038
uid://A001/X1ed/Xc9c_01_1,uid://A001/X1ed/Xc9c_01_1,uid://A001/X1ed/Xc9c,uid://A001/X1ed/Xc9c_01,F_MultiplePoints,Unspecified,LkCa_15,69.82415,22.3509667,False,0.0,km/s,hel,RELATIVISTIC,0.003844959968939579
